"","type","Lat_coords","Lng_coords","label_type","panorama_id"
"1","Point",38.830623626709,-76.998405456543,"Other","FK6VRoD5oynoE7SFlS2bTQ"
"2","Point",38.893871307373,-76.9749145507812,"Other","sKPVbj1q6CBdT1h89DhlYw"
"3","Point",38.8341751098633,-76.9904479980469,"Other","Z-CXqMBHkfLbJEfJ3NnqaA"
"4","Point",38.903247833252,-76.9224700927734,"Other","fgLK7OX8w_7a7UBNZ3E2WA"
"5","Point",38.8310928344727,-77.0023040771484,"Other","IjFDNDV1chmiT_OMqRBwIg"
"6","Point",38.8967056274414,-76.9801406860352,"Other","RmsvXAP26k_4RdRLHtEpkQ"
"7","Point",38.9705390930176,-77.0034255981445,"Other","jFX-WvABz6Uk5e9eldUZpQ"
"8","Point",38.9136543273926,-77.0710296630859,"Other","KcM7hZ1QbZI1JXFDjFCRZQ"
"9","Point",38.8894081115723,-76.9531860351562,"Other","BgTw3oXColRG3hDe5zi8Vw"
"10","Point",38.9405708312988,-77.0649719238281,"Other","8GvmjULRi9Ul4pjnFKrHdA"
"11","Point",38.8333396911621,-76.9945526123047,"Other","P8gu5HeXITbW7AlXke_35w"
"12","Point",38.8939819335938,-76.9600219726562,"Other","xoEXEe5sQgtU4Eqg6-l0Aw"
"13","Point",38.9575500488281,-77.0240020751953,"Other","pKDnlSxX8kPizBt3jI56dg"
"14","Point",38.9148178100586,-77.0971069335938,"Other","4qMMJYjb4flOpanvJZNl6g"
"15","Point",38.9078712463379,-77.0817413330078,"Other","xxXHwJeNmDAsCqx0LemYMA"
"16","Point",38.8884201049805,-77.0505752563477,"Other","mCttaSkExe-euF1ijsaJbA"
"17","Point",38.9638442993164,-77.0120086669922,"Other","Fiu3K3QHOjxA8GNBRm9blw"
"18","Point",38.9191246032715,-77.0893859863281,"Other","oY-ZqxxIl1zen-72hQ3Qjw"
"19","Point",38.8898620605469,-76.9532928466797,"Other","yue7Ns9NeZfnJ7IYaYEGPA"
"20","Point",38.8325309753418,-76.9917144775391,"Other","eFcOxepveN70qFXasU9AJw"
